James;1146218927;jbutt@gmail.com;0;;
Josephine;8102929388;josephine_darakjy@darakjy.org;1;;
Art;8566368749;art@venere.org;2;;
Lenna;9073854412;lpaprocki@hotmail.com;3;;
Donette;5135701893;donette.foller@cox.net;4;;
Simona;4195032484;simona@morasca.com;5;;
Mitsue;7735736914;mitsue_tollner@yahoo.com;6;;
Leota;4087523500;leota@hotmail.com;7;;
Sage;6054142147;sage_wieser@cox.net;8;;
Kris;4106558723;kris@gmail.com;9;;
Minna;2158741229;minna_amigon@yahoo.com;10;;
Abel;6313353414;amaclead@gmail.com;11;;
Kiley;3104985651;kiley.caldarera@aol.com;12;;
Graciela;4407808425;gruta@cox.net;13;;
Cammy;9565376195;calbares@gmail.com;14;;
Mattie;6022774385;mattie@aol.com;15;;
Meaghan;9313139635;meaghan@hotmail.com;16;;
Gladys;4146619598;gladys.rim@rim.org;17;;
fFletcher;8158282147;letcher.flosi@yahoo.com;19;;
Bette;6105453615;bette_nicka@cox.net;20;;
Veronika;4085401785;vinouye@aol.com;21;;
Willard;9723039197;willard@hotmail.com;22;;
Maryann;5189667987;mroyster@royster.com;23;;
Alisha;7326583154;alisha@slusarski.com;24;;
